十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址（里鄰）,地址,聯絡電話,座標緯度,座標經度,備註
501010019,三軍總醫院松山分院附設民眾診療服務處,臺北市,松山區,105,,臺北市松山區健康路131號,02-27648850,25.054373,121.557672,null
501110514,三軍總醫院附設民眾診療服務處,臺北市,內湖區,114,,臺北市內湖區成功路2段325號,02-8792-3311轉88017,25.0718315,121.5899564,null
3501154180,士林小兒科診所,臺北市,士林區,111,,臺北市士林區中正路249號,02-28812485,25.0949909,121.5251834,null
3501107725,大直佳恩診所,臺北市,中山區,104,,臺北市中山區北安路591號,02-25323301,25.081959,121.548607,null
3501103272,大直診所,臺北市,中山區,104,,臺北市中山區北安路595巷2弄2號,02-25332339,25.081895,121.5482959,null
3501013157,大家好診所,臺北市,松山區,105,,臺北市松山區民生東路四段80巷11弄2號,02-27138819,25.056555,121.5530934,null
3501113714,大湖診所,臺北市,內湖區,114,,臺北市內湖區成功路四段366號,02-27906002,25.0848386,121.6004134,null
350102C576,小禾馨小兒專科診所,臺北市,大安區,106,,臺北市大安區新生南路3段4號,02-23698833,25.0255359,121.534519,null
3501114033,小禾馨民權小兒專科診所,臺北市,內湖區,114,,臺北市內湖區行忠路191號,02-27910233,25.067381,121.5817747,null
3501185774,小禾馨懷寧小兒專科診所,臺北市,中正區,100,,臺北市中正區重慶南路1段99號,02-2311-0353,25.043041,121.513371,null
901020013,中山醫療社團法人中山醫院,臺北市,大安區,106,,臺北市仁愛路4段112巷11號,02-27081166,25.0366641,121.5499766,null
1301110511,中國醫藥大學附設醫院臺北分院,臺北市,內湖區,114,,臺北市內湖區內湖路2段360號,02-27919696,25.0821594,121.5906412,null
3501100182,中崙聯合診所,臺北市,中山區,104,,臺北市中山區八德路2段303號,02-27711501,25.047355,121.542574,null
3501113330,仁弘耳鼻喉科診所,臺北市,內湖區,114,,臺北市內湖區內湖路一段737巷50弄37號1樓,02-26596360,25.0807401,121.5784754,null
3501022496,仁安診所,臺北市,大安區,106,,臺北市大安區和平東路2段175巷34號,02-2706-5995,25.0268595,121.5417488,null
3501121627,天仁小兒科診所,臺北市,南港區,115,,臺北市南港區成福路21號,02-27862687,25.0448163,121.5867293,null
3501121823,天仁健康診所,臺北市,南港區,115,,臺北市南港區成福路21號,02-27862687,25.0448163,121.5867293,null
4001020028,尹書田醫療財團法人書田泌尿科眼科診所,臺北市,大安區,106,,臺北市大安區建國南路2段276號,02-23690211,25.0252453,121.5372012,null
3501112851,日新診所,臺北市,內湖區,114,,臺北市內湖區成功路5段446號1樓,02-26342743,25.0747773,121.6071781,null
3501100815,木生婦產科,臺北市,中山區,104,,臺北市中山區長安東路2段90號1-4樓,02-25012312,25.0483693,121.5345283,null
3501110115,王慶森診所,臺北市,內湖區,114,,臺北市內湖區港墘路65號1樓,02-27986052,25.0811872,121.5783256,null
3501101849,北安聯合診所,臺北市,中山區,104,,臺北市中山區北安路569之3號,02-25337777,25.0809329,121.548257,null
1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,中山區,104,,臺北市中山區中山北路二段92號,02-25433535,25.0588322,121.5223675,null
1101100020,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院兒童醫院,臺北市,中山區,104,,臺北市中山區中山北路2段92號,02-25433535,25.0588322,121.5223675,null
3501108008,四季和安婦幼診所,臺北市,中山區,104,,臺北市中山區林森北路458號,02-25677310,25.0608885,121.5254296,null
3501121743,永育診所,臺北市,南港區,115,,臺北市南港區福德街320-2號,02-27850700,25.0395556,121.5881856,null
3501113929,禾馨民權婦幼診所,臺北市,內湖區,114,,臺北市內湖區民權東路6段42號2樓,02-55713333,25.0674957,121.5816723,null
350102B364,禾馨新生婦幼診所,臺北市,大安區,106,,臺北市大安區新生南路三段2號,02-23682333,25.025746,121.534531,null
3501194648,光耳鼻喉科診所,臺北市,萬華區,108,,臺北市萬華區青年路90號,02-23078697,25.0230957,121.5025857,null
3501150422,存德小兒科診所,臺北市,士林區,111,,臺北市士林區文林路460號,02-28342567,25.0956427,121.5246202,null
3501013031,安美診所,臺北市,松山區,105,,臺北市松山區八德路二段400號三樓,02-27214153,25.0480199,121.5465857,null
3501112904,成安耳鼻喉科診所,臺北市,內湖區,114,,臺北市內湖區成功路四段153號,02-27937201,25.0831562,121.5940163,null
3501181267,朱小兒科診所,臺北市,中正區,100,,臺北市中正區汀州路2段220號,02-23651810,25.0220979,121.5240056,null
3501011260,江崇萍小兒科診所,臺北市,松山區,105,,臺北市松山區南京東路五段251巷24弄27號1樓,02-27632260,25.0523388,121.5643544,null
901190010,西園醫療社團法人西園醫院,臺北市,萬華區,108,,臺北市萬華區西園路2段270號,02-23076968,25.027621,121.494327,null
3501151938,何小兒科診所,臺北市,士林區,111,,臺北市士林區福港街176號,02-28827401,25.0866159,121.517654,null
3501162940,何叔芳小兒科診所,臺北市,北投區,112,,臺北市北投區裕民四路4號1樓,02-28206886,25.1154504,121.5158648,null
3501021239,吳坤光婦產科診所,臺北市,大安區,106,,臺北市大安區信義路4段59號,02-27059320,25.0334998,121.5454617,null
3501173765,宏安診所,臺北市,信義區,110,,臺北市信義區忠孝東路5段191號1樓,02-27611271,25.0412402,121.5694266,null
3501163072,宏恩兒科診所,臺北市,北投區,112,,臺北市北投區致遠一路2段99號,02-28271110,25.1129187,121.5129368,null
3501194424,快樂兒童診所,臺北市,萬華區,108,,臺北市萬華區寶興街121號1樓,02-23328610,25.0252155,121.4948481,null
